"PriceUSD", "Gold","Date", "Platform"
4.95, 600, 2022-11-28, "Steam"
9.95, 1275, 2022-11-28, "Steam"
19.95, 2625, 2022-11-28, "Steam"
49.95, 6750, 2022-11-28, "Steam"
99.95, 14250, 2022-11-28, "Steam"
4.95, 800, 2022-11-28, "Native"
9.95, 1700, 2022-11-28, "Native"
19.95, 3500, 2022-11-28, "Native"
49.95, 9000, 2022-11-28, "Native"
99.95, 19000, 2022-11-28, "Native"
4.95, 750, 2017-07-17, "Steam"
9.95, 1750, 2017-07-17, "Steam"
19.95, 3750, 2017-07-17, "Steam"
49.95, 10000, 2017-07-17, "Steam"
99.95, 21000, 2017-07-17, "Steam"
4.95, 800, 2017-07-17, "Native"
9.95, 1900, 2017-07-17, "Native"
19.95, 4000, 2017-07-17, "Native"
49.95, 10500, 2017-07-17, "Native"
99.95, 22000, 2017-07-17, "Native"


