date,price,pct_change
2018-01-31,619.7088948787062,-8.6
2018-02-28,666.8452380952381,7.61
2018-03-31,698.5745257452575,4.76
2018-04-30,716.9541029207232,2.63
2018-05-31,751.99121522694,4.89
2018-06-30,926.0361111111112,23.14
2018-07-31,1113.4470426409903,20.24
2019-03-31,1698.0689655172414,52.51
2019-04-30,1576.5822784810127,-7.15
2019-05-31,1737.158108108108,10.19
2019-06-30,2000.7830985915493,15.18
2019-07-31,2417.0962059620597,20.81
2019-08-31,2669.672554347826,10.45
2019-09-30,3663.9442896935934,37.24
2019-10-31,3570.6846361185985,-2.55
2019-11-30,3341.3114525139663,-6.42
2019-12-31,2954.1407307171853,-11.59
2020-01-31,2920.024423337856,-1.15
2020-02-29,2577.6888567293777,-11.72
2020-03-31,2595.36400541272,0.69
2020-04-30,2579.4944289693594,-0.61
2020-05-31,2583.901749663526,0.17
2020-06-30,2771.4450625869263,7.26
2020-07-31,2841.3938172043013,2.52
2020-08-31,2825.2472972972973,-0.57
2020-09-30,2816.350974930362,-0.31
2020-10-31,2823.154262516915,0.24
2020-11-30,2860.086230876217,1.31
2020-12-31,3030.008130081301,5.94
2021-01-31,3024.8858321870703,-0.17
2021-02-28,3122.286140089419,3.22
2021-03-31,2997.0473612990527,-4.01
2021-04-30,2813.0615384615385,-6.14
2021-05-31,2814.5722891566265,0.05
2021-06-30,2816.9242636746144,0.08
2021-07-31,2803.524258760108,-0.48
2021-08-31,2852.948855989233,1.76
2021-09-30,2952.1910739191076,3.48
2021-10-31,3094.6527590847913,4.83
2021-11-30,3441.117318435754,11.2
2021-12-31,3182.2156334231804,-7.52
2022-01-31,2961.239247311828,-6.94
2022-02-28,2973.2752976190477,0.41
2022-03-31,2997.635262449529,0.82
2022-04-30,2997.6916666666666,0.0
2022-05-31,3030.7260458839405,1.1
2022-06-30,3153.391666666667,4.05
2022-07-31,3226.4568733153637,2.32
2022-08-31,3423.2472972972973,6.1
2022-09-30,3453.868715083799,0.89
2022-10-31,3473.4402173913045,0.57
2022-11-30,4095.4066852367687,17.91
2022-12-31,4392.49864498645,7.25
2023-01-31,4516.246298788695,2.82
2023-02-28,5494.221225710015,21.65
2023-03-31,5537.729838709677,0.79
2023-04-30,4760.0055555555555,-14.04
2023-05-31,4765.2866756393005,0.11
2023-06-30,5240.675,9.98
2023-07-31,5640.117408906883,7.62
2023-08-31,5199.641509433963,-7.81
2023-09-30,5417.777468706537,4.2
2023-10-31,5096.585069444444,-5.93
