Item,Max_Value,City,Current_Time,Current_Day
T3_ORE,51,Thetford,2024-05-11 11:09:41,2024-05-11
T4_ORE,55,Fort%20Sterling,2024-05-11 11:09:41,2024-05-11
T4_ORE_LEVEL1@1,219,Thetford,2024-05-11 11:09:41,2024-05-11
T4_ORE_LEVEL2@2,813,Fort%20Sterling,2024-05-11 11:09:41,2024-05-11
T4_ORE_LEVEL3@3,4597,Thetford,2024-05-11 11:09:41,2024-05-11
T5_ORE,215,Thetford,2024-05-11 11:09:41,2024-05-11
T5_ORE_LEVEL1@1,543,Fort%20Sterling,2024-05-11 11:09:41,2024-05-11
T5_ORE_LEVEL2@2,2470,Thetford,2024-05-11 11:09:41,2024-05-11
T5_ORE_LEVEL3@3,12127,Thetford,2024-05-11 11:09:41,2024-05-11
T6_ORE,662,Fort%20Sterling,2024-05-11 11:09:41,2024-05-11
T6_ORE_LEVEL1@1,1500,Thetford,2024-05-11 11:09:41,2024-05-11
T6_ORE_LEVEL2@2,6390,Thetford,2024-05-11 11:09:41,2024-05-11
T6_ORE_LEVEL3@3,24424,Fort%20Sterling,2024-05-11 11:09:41,2024-05-11
T7_ORE,1153,Thetford,2024-05-11 11:09:41,2024-05-11
